year,raceId,boatType,classId,place,value,temp,rain,water
2012,ADK90,Canoe,oc1stock,2,22327,69.1,0.516,4.29
2021,ADK90,Unknown,open,14,22335,60,0,5.13
2019,ADK90,Canoe,oc2stockmix,6,22336,59.3,0.008,4.97
2021,ADK90,Canoe,oc4stock,8,22338,60,0,5.13
2025,ADK90,Canoe,oc2stock,14,22341.5,60.5,0.134,3.08
2018,ADK90,Canoe,open,NA,22346,58.7,0,2.76
2021,ADK90,Canoe,oc2stockwomen,1,22352,60,0,5.13
2024,ADK90,Unknown,solorec,4,22354.7,59.6,0.768,4.26
2019,ADK90,Canoe,oc2stockmaster,6,22356,59.3,0.008,4.97
2016,ADK90,Kayak,k1tour,2,22358,69.6,0.004,3.19
2022,ADK90,Canoe,oc1stock,1,22358.6,67.5,0,3.91
2018,ADK90,Canoe,open,NA,22359,58.7,0,2.76
2024,ADK90,Canoe,oc2stockmaster,6,22359.5,59.6,0.768,4.26
2023,ADK90,Canoe,oc2stockwomen,2,22370.9,65.2,0,5
2009,ADK90,Canoe,oc4mix,12,22372,60,0.185,4.03
2009,ADK90,Canoe,open,NA,22372,60,0.185,4.03
2013,ADK90,Canoe,open,NA,22373,57.4,0.047,4.6
2025,ADK90,Kayak,k1sportnc,1,22375.9,60.5,0.134,3.08
2019,ADK90,Unknown,open,43,22376,59.3,0.008,4.97
2014,ADK90,Canoe,open,NA,22376,68.9,0.067,4.01
2021,ADK90,SUP,solorecveteran,4,22378,60,0,5.13
2025,ADK90,Kayak,k1sportnc,2,22378.3,60.5,0.134,3.08
2023,ADK90,Guideboat,g2nc,1,22379.4,65.2,0,5
2014,ADK90,Canoe,oc1stock,3,22380,68.9,0.067,4.01
2011,ADK90,Canoe,open,NA,22381,62.9,0,7.28
2015,ADK90,Canoe,oc1recmaster,3,22382,63,0.185,2.75
2010,ADK90,Canoe,oc1recwomen,2,22383,58.4,0,3.89
2022,ADK90,Canoe,oc2stockopen,11,22385,67.5,0,3.91
2015,ADK90,Canoe,voyageur,8,22386,63,0.185,2.75
2013,ADK90,Canoe,open,NA,22390,57.4,0.047,4.6
2018,ADK90,Canoe,open,NA,22390,58.7,0,2.76
2013,ADK90,Canoe,open,NA,22391,57.4,0.047,4.6
2015,ADK90,Canoe,open,NA,22392,63,0.185,2.75
2009,ADK90,Canoe,open,NA,22393,60,0.185,4.03
2013,ADK90,Kayak,k1tour,4,22395,57.4,0.047,4.6
2013,ADK90,Canoe,oc4mix,16,22396,57.4,0.047,4.6
2025,ADK90,Kayak,k1open,3,22398.5,60.5,0.134,3.08
2018,ADK90,Canoe,oc4stockmix,8,22401,58.7,0,2.76
2019,ADK90,Unknown,open,54,22403,59.3,0.008,4.97
2025,ADK90,Canoe,oc4stock,12,22405.6,60.5,0.134,3.08
2009,ADK90,Canoe,oc1stock,4,22407,60,0.185,4.03
2021,ADK90,Unknown,open,15,22409,60,0,5.13
2018,ADK90,Canoe,open,NA,22409,58.7,0,2.76
2008,ADK90,Canoe,open,NA,22410,70.2,0.323,4.58
